"Irwin Stotzky","Recuerdo que Carlos Nino llegó a Miami en los años 1980 por invitación mía para visitar la Universidad de Miami. En una ocasión, se perdió mientras conducía y, por accidente, se encontró en medio de un enfrentamiento violento entre la policía y la comunidad negra en Coconut Grove, tras el tiroteo (asesinato) policial de un hombre negro. Cuando supe dónde estaba, conduje hasta el lugar para encontrarlo y sacarlo. Fue un momento aterrador y profundamente conmovedor. Hubo algo sorprendente en ver a Carlos ---un filósofo cuya vida estuvo dedicada a cuestiones de justicia, derechos, democracia y los fundamentos morales del derecho--- repentina y literalmente atrapado en medio de una crisis de raza, poder y violencia. Desde entonces he pensado muchas veces que el episodio captó algo esencial sobre Carlos. No era un filósofo que se mantuviera separado del mundo sobre el que teorizaba. Tenía una extraordinaria capacidad para moverse entre las cuestiones más abstractas de la filosofía moral y jurídica y los problemas concretos que enfrentan las sociedades democráticas. Como escribí más tarde, Carlos era un intelectual público poco común cuya búsqueda filosófica de la verdad era inseparable de su compromiso con la vida pública. Sus ideas sobre justicia, democracia, derechos y moralidad no fueron meros temas de discusión académica; fueron convicciones que lo arrastraron a las crisis y luchas del mundo que lo rodeaba. Ese día en Miami, sin quererlo, Carlos se encontró literalmente en medio de una de esas luchas, y yo me vi obligado a ir a rescatar a mi amigo."
"Miguel Gualano de Godoy","No llegué a conocer a Carlos Santiago Nino: se fue un 29 de agosto, se cumplen, precisamente, treinta y tres años, en La Paz, trabajando hasta el final en una reforma constitucional. Pero lo conocí igual, por una vía maravillosa para quien llega tarde: a través de su pupilo Roberto Gargarella, mi profesor lejano, coorientador en la Maestría y en el Doctorado, quien me enseñó a pensar con Carlos Santiago Nino y más allá de Nino. Mi primer libro, titulado 'Constitucionalismo y Democracia: una lectura a partir de Carlos Santiago Nino y Roberto Gargarella', fue, en el fondo, un intento de tomar en serio su constructivismo epistemológico y esa convicción tan suya de que la democracia vale porque es el procedimiento que mejor nos acerca, entre iguales, a decisiones imparciales. Pero lo que más cargo de Nino no es un argumento, sino una imagen: la Constitución y la interpretación constitucional como una Catedral inacabada, él pensaba en la Sagrada Familia, (donde justamente anda ahora Roberto Gargarella), que generaciones enteras levantaron sabiendo que no verían la última piedra, tal como Nino murió sin ver terminada ninguna Constitución, y sin ver, tampoco, esta torre final que se izó recién este mismo año, cien años después de la muerte de Gaudí. Esa imagen, que él usó para pensar la Constitución y su interpretación, hoy es también, sobre todo en el aula, mi manera de entender lo que significa ser profesor: alguien que asienta piedras de una catedral cuyo final no verá, y que en cada clase, generosamente, entrega el cincel."
"Miguel Ángel de Dios","Con Carlos era conversar, pensar, aprender, para mí fue disfrutar el placer pleno del debate y el pensamiento crítico. No había argumento que le llevaras que descartaba a priori pero muchas veces razonando te llevaba a darte cuenta que lo tenías que hacer. Ese legado me acompañó toda la vida. Ese intelectual sólido y vigoroso en el debate, comprometido con la consolidación democrática y los derechos humanos en las ideas y en la acción, era a su vez un buen tipo algo ingenuo y despistado. Era muy divertido compartir con él y los demás chicos que iba formando y agrupando. Con el tiempo se agiganta en mí la memoria y el honor de haber trabajado con Carlos en el inicio de la recuperación de la democracia."
"Vera Karam de Cheuri (UNFP) ","Conocí los escritos de Carlos Santiago Nino en 1989, cuando cursaba mi maestría en Filosofía del Derecho y, entre los libros que debíamos estudiar, se encontraba su Introducción al análisis del derecho. Nino realizó ese tránsito desde la filosofía y la teoría del derecho hacia la teoría constitucional, provocándonos a pensar el derecho (y la Constitución) en su dimensión normativa y en su exigencia de una justificación moral. Nino también participó activamente en el proceso de transición democrática tras la brutal dictadura argentina, lo que le confiere, además, la dimensión de un intelectual público. Murió joven y dejó un legado fundamental para el derecho latinoamericano, pero no solo esto. Nino sigue siendo una referencia para todas y todos quienes, en distintas partes del mundo, se dedican a reflexionar sobre el derecho, la moral, la ética, los derechos humanos, el constitucionalismo y la democracia, tanto en sus singularidades como en sus múltiples entrelazamientos."
"Gaspar Tizio","Nino llegó tarde a mi vida. No recuerdo haber leído nada suyo en los primeros años de mi formación de grado; recién hacia el final de ese período, con motivo de mi incursión como ayudante alumno de Introducción al Derecho en la UNLP, me conecté con su obra a través de Introducción al análisis del derecho. Allí comenzó una relación que solo se ha fortalecido con el tiempo. En el posgrado me resultó estimulante poner a conversar su Ética y derechos humanos con la literatura especializada sobre derechos fundamentales. Hoy buena parte de su bibliografía es recomendada a quienes cursan Introducción al Derecho, y cada cuatrimestre invito a quienes cursan a acercarse a sus textos por una virtud particular que le reconozco a Nino, especialmente valiosa para quienes dan sus primeros pasos en la disciplina: explicar conceptos profundamente complejos y abstractos con sencillez, sin resignar calidad intelectual. Volver fácil lo difícil es un don reservado a pocas personas ilustres."
"Marisa Iglesias","Recuerdo entrar en su despacho de la UPF, en Barcelona, durante una de sus visitas a nuestro grupo de investigación de filosofía del Derecho. Empecé a hablarle de mis progresos sobre el problema de la discreción judicial y el debate entre Hart y Dworkin. Mientras yo le exponía mis tesis, él continuaba escribiendo en su ordenador. Y, sin embargo, me seguía escuchando con atención y me interpelaba con preguntas certeras, con ese sentido tan fino para ir al fondo de la cuestión. «Un genio», pensé entonces. ¿Cómo, si no, podía alguien ser capaz de hacer tan bien varias cosas a la vez? Con el tiempo, profundizando en su concepción del Derecho y en la maravillosa metáfora de la práctica jurídica como la construcción de una catedral, confirmé que él era uno de esos pocos genios que dan con las grandes ideas: las que hacen bien varias cosas a la vez porque reconcilian teorías y conceptos que parecían condenados a enfrentarse. Se fue pronto, pero su genialidad marcó caminos por los que algunos y algunas llevamos una vida transitando."
"José Arthur Castillo de Macedo","Además de filósofo del derecho y moral muy conocido en Brasil y en el mundo, Carlos Santiago Nino aportó nuevas formas de pensar el derecho constitucional que tuvieron mucho impacto en el estado de Paraná (Brasil) y en la Facultad de Derecho de la Universidad Federal del Paraná (FD-UFPR). El constructivismo que desarrolló en Ética y derechos humanos influyó en los debates sobre una comprensión refinada de la autonomía y en una defensa sofisticada, desde el liberalismo, de los derechos sociales. Sus críticas al control de constitucionalidad y, sobre todo, su defensa de la democracia deliberativa influyeron en numerosos trabajos académicos, en la actuación de órganos estatales y en fallos del Supremo Tribunal Federal (STF) de Brasil. Igualmente, la crítica que él – y Roberto Gargarella – hicieron al hiperpresidencialismo tuvo consecuencias para el debate constitucional brasileño, que no prestaba la debida atención a sus repercusiones en el debilitamiento de nuestra democracia. Nino es una inspiración para nosotros como profesor, investigador riguroso e intelectual público comprometido con los derechos humanos y la democracia, que dedicó energía y pasión a construir y consolidar el respeto a los derechos, a la constitución y a la democracia en América Latina."
"Silvina Álvarez Medina","En un edificio tan voluminoso y retumbante, una estudiante que orillaba la búsqueda, que empezaba a bucear en el derecho y a sorber sus asperezas, podía encontrar en el profesor Carlos Nino estímulos luminosos. Para mí, fue un oasis, no solo como espacio filosófico, reflexivo, argumentativo; por entonces conocí en la UBA a más de una profesora y un profesor que dispararon mi interés. La singularidad, creo, no recayó solo en las ideas, que eran poderosas: salir de las normas simplemente heredadas para entrar en las normas debidas, las posibles, las deseadas. Fueron reveladores los finales abiertos, los problemas de respuestas inacabadas. Recuerdo su llaneza ante el dilema, la confianza en que precisamente la cabeza aún poco amueblada de una estudiante pudiese cavilar salidas desde el embrollo; recuerdo su interpelación: - '¿Usted qué piensa?'. Y entonces empezaba la búsqueda."
"Martín Böhmer","Nosotros no nos tuteábamos con nuestros mayores. Con él tampoco. Si pudiera hablarle hoy, después de una larga charla que incluiría las preguntas que me quedaron, y las ideas, los proyectos y la gente que él nos ayudó a cultivar, le diría: ""Disculpas, Doctor. Somos apenas su primer intento, pero como ve, de ninguna manera somos el último."""
"Roberto Saba","Fui estudiante de Carlos S. Nino en la Facultad de Derecho de la UBA, terminando la carrera allí por 1990. El curso era sobre control judicial de constitucionalidad (su ayudante de cátedra era Roberto Gargarella, que corregía semanalmente los trabajos que hacíamos en base a una pregunta que Nino nos planteaba cada siete días). Luego fui su ayudante en la Facultad y, más tarde, una vez recibido, trabajé cerca suyo y del resto de sus primeros discípulos en el Centro de Estudios Institucionales (el CEI) hasta su fallecimiento el 29 de agosto de 1993, noticia que recibí del propio Roberto en uno de los días más tristes de mi vida. Tuve mucha suerte de encontrarlo. Fue para mí siempre, desde aquellas clases en las que lo disfruté siendo yo estudiante, una fuente de inspiración, un faro sobre lo que significa ser un académico y un docente. Fue también, y quizá sobre todo, un intelectual público, como lo definió su gran amigo Owen Fiss, comprometido con los valores de la democracia liberal, el autogobierno, la libertad y la igualdad. Como intelectual público logró llevar sus sofisticadas ideas sobre teoría democrática, teoría de la constitución y justificación (y, más aún, la necesidad de esa justificación) de los derechos humanos a la acción política en los cruciales años de la reconstrucción democrática. Murió muy joven, pero vivió lo suficiente para dejarnos una producción intelectual con tanta potencia y energía que nos permitió llegar hasta hoy, en nuestros propios emprendimientos intelectuales y políticos, individuales y colectivos, con el impulso y la inspiración de su práctica y sus ideas. Aquel proyecto suyo de una academia profesional e independiente aún no se realiza. Es difícil por dinámicas estructurales que es muy complejo desarmar. Sin embargo, su ejemplo ha inspirado y continúa inspirando a más de tres generaciones. Pasó la antorcha a un pequeño grupo de jóvenes y ella sigue pasando a quienes los siguieron, encendiendo la esperanza de un país y un mundo más democrático, respetuoso de la autonomía de cada individuo y más igualitario. Sin duda eso es posible. Si él pensaba que era posible luego de la más oscura noche que vivió nuestro país en el siglo pasado, no tenemos derecho a perder el optimismo, no importa cuán adverso parezca ser el contexto histórico en el que vivimos."
"Romina Faerman","Carlos Nino aborda el principio de autonomía personal en muchas de sus obras. En 'Ética y Derechos Humanos' (1989) incluye un concepto de autonomía que se constituye como punto de partida para cualquier estudio sobre esta temática. Con el correr de los años fueron surgiendo diversas críticas feministas a algunas nociones que limitan la autonomía al deber de dejar a las personas a solas. Se objeta, centralmente, que esta idea implica una autonomía para 'pocos'. La mirada igualitaria de la autonomía de Nino, reflejada en su énfasis sobre los deberes de generar condiciones para su ejercicio, trasciende muchas de estas críticas. De hecho, puede entenderse que su concepto de autonomía sienta las bases para la construcción, a partir de los aportes de las teorías feministas, de un concepto de autonomía que se enfoque en las condiciones para su ejercicio en contextos de desigualdad social."
"Florencia Guerzovich","No conocí a Carlos Nino. De hecho, la primera vez que me dieron a leer un texto suyo, en primer año de la universidad, no entendí demasiado. Pero pocos años después, en 1999, recién graduada, fui beneficiaria de lo que él había ayudado a construir. Empecé a trabajar en la Dirección de Planificación de Políticas de Transparencia, y nos decían que la presencia de jóvenes profesionales tenía algo del espíritu del Consejo para la Consolidación de la Democracia. Aprendí cómo podían entrelazarse ideas, misión pública y práctica, y gané además un mentor, Roberto de Michele, que había aprendido del suyo. Con el tiempo entendí mejor esa dimensión colectiva e intergeneracional —algo que Sebastián Pereyra capturaría después al estudiar las redes que impulsaron la agenda de transparencia en Argentina, América Latina y mucho más allá— y cuánto de una tradición intelectual viaja no sólo en los textos, sino también a través de personas, instituciones y formas de hacer. Desde entonces, quizá el texto de Nino al que más he vuelto es aquel en que compara la construcción constitucional con la construcción de una catedral. Lo cité en mi tesis doctoral. Hoy me ayuda a entender y valorar mejor, cuando evalúo proyectos y procesos desde República Dominicana hasta Nepal, a quienes usan su agencia para contribuir a construir sistemas complejos de gobernanza: sin ver la obra terminada, combinando distintos 'estilos arquitectónicos' y trabajando con herramientas y horizontes de corto y mediano plazo. Y, sobre todo, lo sigo usando para invitar a activistas más jóvenes a reflexionar: para poner en perspectiva la montaña rusa de este trabajo, recordar que los resultados rara vez caben en nuestros propios tiempos y situar lo que hacemos como una contribución, necesariamente parcial, a una obra que empezó antes que nosotros y seguirá después."
"Gustavo Beade","Lo que Nino inventó: Nino fue el inventor del campo de investigación en el que trabajo hoy en día. Inventó un espacio para pensar problemas filosóficos en el derecho penal. Tal vez antes que muchos en Europa y Estados Unidos. Nino, cuando publica su tesis doctoral en español 'Los Límites de la Responsabilidad Penal' (y también en su tesis en la versión en inglés), hace algo que a mí me pareció fascinante de ver en un momento y que todavía sigue siendo algo notable: hace dialogar distintas tradiciones y sale con una idea propia y original. En estos textos hay citas de H.L.A. Hart, de Hans Welzel y de Sebastián Soler y eso termina en algo total y absolutamente original que él produce. La dogmática penal argentina, la dogmática penal alemana y la filosofía del derecho nunca antes habían compartido un espacio así. No había nada parecido a eso antes de su tesis. Esa puerta la abrió Nino. Leer a Nino era accesible, era claro, pero a la vez era muy profundo en esos trabajos de filosofía penal. Todos esos textos que publicó durante los primeros años 80, enriquecidos con citas de autores desconocidos en ese contexto (Dworkin, Rawls, Feinberg), tenían una idea muy iluminadora sobre los problemas que trataba que eran, en cierta medida, problemas tradicionales del derecho penal."
"Fernando Bracaccini","La influencia de Nino en las generaciones que le siguieron ha sido extraordinaria. Y con buena razón. A mí me ha hecho ver la democracia de un modo diferente. Gracias a Nino comprendí que la democracia es imperativa no solamente porque todos tenemos el derecho a determinar el rumbo de nuestras propias vidas, sino también porque cuando nos encontramos, dialogamos, intercambiamos experiencias, nos enteramos de las realidades de otros y, en definitiva, pensamos juntos, es más probable que hagamos las cosas bien. Nino ha propuesto mucho más que una teoría de la democracia; su trabajo es una invitación a encontrarnos a pensar con otros."
"Gabriel Bouzat","Conocí a Carlos Nino a principios de los 80 en un seminario de filosofía del derecho en Sadaf. Mi primera impresión fue que tenía una curiosidad intelectual inagotable y una mente que nunca dejaba de pensar. Fue una impresión correcta. La discusión era su territorio preferido. Nunca se daba por vencido y su capacidad de argumentar era infinita. Tuve el privilegio de acompañarlo como su asistente cuando fue asesor de Alfonsín, cuando presidió el Consejo para la Consolidación de la Democracia y en el Centro de Estudios Institucionales. Los temas en los que trabajamos y las discusiones en las que participamos en la primavera democrática son ya parte de la historia. La maestría con que relacionaba la teoría con la práctica política era magistral. Fue un intelectual comprometido, una mente brillante y una persona generosa.
Dos anécdotas. Cuando estaba estudiando en Yale Law School me vino a visitar a mi casa. Fue en 1987 y le mencioné la contradicción mayoritaria del libro de Bickel ""The least dangerous branch"". No la conocía. Al año había escrito un paper sobre control de constitucionalidad que terminó siendo la base de las ideas que desarrolló en sus últimos libros. Coincidimos también el verano de 1990 en Florianópolis. Escribía, en una precaria computadora, fundamentos del derecho constitucional bajo una sombrilla en la ardiente playa brasileña. En la vorágine de los acontecimientos que nos tocó vivir, no fui del todo consciente. Con el tiempo empecé a comprenderlo con claridad y se convirtió en una de las personas más importantes de mi vida. Mi agradecimiento eterno a su inteligencia, compromiso y generosidad."
"José Luis Martí","Inicié mis estudios en derecho en la Universidad Pompeu Fabra de Barcelona a fines de septiembre de 1993, pocos días después del fallecimiento de Carlos Nino, que de hecho había sido poco antes profesor visitante de esa universidad. Como es de esperar, yo no tenía ninguna idea de derecho y no había oído nunca hablar de Nino. Acudí a la facultad el primer día, con los nervios y emoción propios de cualquier nuevo estudiante con curiosidad. Entré a mi primera aula para tomar mi primera clase de la primera de las materias. Esa materia era Teoría del derecho. El profesor que la impartía era un joven y tímido argentino llamado Roberto Gargarella. Nos dijo que el libro que usaríamos para preparar esa materia era Introducción al análisis del derecho, de un tal Carlos Nino. Y, en los tres meses siguientes, nos habló frecuentemente no sólo de lo que contaba el manual, sino de muchos otros trabajos del que había sido su gran maestro. Ahora me doy cuenta de lo difícil que debió ser, del nudo en la garganta que debía tener al explicarnos todas esas ideas de su querido Nino, pocas semanas después de su muerte. Ahí se prendió, para mí, la luz de Nino. Algo parecido ocurrió en Teoría del derecho II, cursada en el trimestre siguiente, e impartida en esa ocasión por otro de sus principales discípulos: Carlos Rosenkrantz. Desde ese primer día del primer curso hasta hoy, 33 años más tarde, Nino no ha dejado de acompañarme e influir profundamente en mi aprendizaje y en mis investigaciones. Por ejemplo, fueron Jorge Malem y Ernesto Garzón Valdés quienes, tres años más tarde, me recomendaron leer La constitución de la democracia deliberativa, uno de sus libros póstumos, cuando yo estudiaba todavía cuarto curso. Esa lectura me impactó tanto, su luz fue tan resplandeciente, que, al año siguiente, me dispuse a iniciar un doctorado con una tesis sobre la teoría contemporánea de la democracia deliberativa, de la que Nino fue uno de sus precursores a nivel mundial, y para la que conté con la supervisión del propio Gargarella y de José Juan Moreso, mis maestros directos, y ahora también amigos. Nino se convirtió, digamos, en uno de mis héroes intelectuales, una combinación casi perfecta de académico de inteligencia prodigiosa, gran clarividencia y visión de conjunto, con un fuerte compromiso político personal con la protección de los derechos humanos y la mejora de las instituciones democráticas. Al leer sus libros y artículos, sentía siempre una mezcla de fascinación, admiración y sintonía. Podía tomar su luz como guía. Nino, en algún sentido, me resultaba sumamente cercano, pues todos los colegas que me rodeaban y mis propios maestros le habían conocido personalmente. Todos sin excepción le admiraban, y contaban también miles de anécdotas cuasi-legendarias de él, la mayoría muy divertidas. En otro sentido, me era tan lejano como pueda serlo cualquier filósofo al que uno admira pero que ya ha muerto, alguien que uno espera encontrar en los libros de historia de la filosofía política, pero no en un pasillo de la facultad. Una parte de mí siempre ha lamentado no haberle podido conocer personalmente. ¡Habría querido preguntarle tantas cosas, conversar sobre tantos temas, aprender tanto de él! Y estuve tan cerca de poderlo hacer… Otra parte de mí, sin embargo, lamenta su muerte, claro, pero prefiere que las cosas fueran como fueron, y que para mí Nino siga siendo lo que los jóvenes de hoy en día llaman un ser legendario y un ser de luz."
